,target_loc,Coordinates,latitude,longitude
802,"Mundy Township, Michigan","(42.9144355, -83.75041018267495)",42.9144355,-83.75041018
803,"Mount Morris Township, Michigan","(43.089847000000006, -83.75382925812511)",43.089847,-83.75382926
804,"Grand Blanc Township, Michigan","(42.916256950000005, -83.66649986271871)",42.91625695,-83.66649986
805,"Davison Township, Michigan","(43.005715, -83.5166092122292)",43.005715,-83.51660921
806,"Grand Traverse, Michigan","(44.6409162, -85.5801336)",44.6409162,-85.5801336
807,"Hillsdale, Michigan","(41.8779105, -84.5984396)",41.8779105,-84.5984396
808,"Jonesville, Michigan","(41.9815175, -84.6655279)",41.9815175,-84.6655279
809,"Litchfield, Michigan","(42.044314, -84.7584316)",42.044314,-84.7584316
810,"Somerset Township, Michigan","(42.03650155, -84.4202593392476)",42.03650155,-84.42025934
811,"East Lansing, Michigan","(42.7320307, -84.4721678)",42.7320307,-84.4721678
812,"Lansing, Michigan","(42.7337712, -84.5553805)",42.7337712,-84.5553805
813,"Michigan State University, Michigan","(42.7192043, -84.47791987346606)",42.7192043,-84.47791987
814,"Lansing Community College, Michigan","(42.73939445, -84.55217417036604)",42.73939445,-84.55217417
815,"Meridian Township, Michigan","(42.6895418, -84.3632853)",42.6895418,-84.3632853
816,"State Police:, Michigan","(41.905631299999996, -83.40109103408278)",41.9056313,-83.40109103
817,"Central Michigan University, Michigan","(43.583549950000005, -84.7746403641781)",43.58354995,-84.77464036
818,"Jackson, Michigan","(42.2416466, -84.425589)",42.2416466,-84.425589
819,"Blackman Township, Michigan","(44.190644, -83.926938)",44.190644,-83.926938
820,"Kalamazoo, Michigan","(42.291707, -85.5872286)",42.291707,-85.5872286
821,"Kent, Michigan","(43.0024013, -85.5502718)",43.0024013,-85.5502718
822,"Grand Rapids, Michigan","(42.9632405, -85.6678639)",42.9632405,-85.6678639
823,"Wyoming, Michigan","(42.9132581, -85.7057035)",42.9132581,-85.7057035
824,"Adrian, Michigan","(41.8975152, -84.0373054)",41.8975152,-84.0373054
825,"Clinton, Michigan","(42.9435238, -84.6125345)",42.9435238,-84.6125345
826,"Morenci, Michigan","(41.7195109, -84.2173964)",41.7195109,-84.2173964
827,"Livingston, Michigan","(42.5924563, -83.9147925)",42.5924563,-83.9147925
828,"Macomb, Michigan","(42.6741189, -82.902901)",42.6741189,-82.902901
829,"Center Line, Michigan","(42.4850362, -83.0277002)",42.4850362,-83.0277002
830,"Eastpointe, Michigan","(42.4683698, -82.9554746)",42.4683698,-82.9554746
831,"New Baltimore, Michigan","(42.6811436, -82.7368616)",42.6811436,-82.7368616
832,"St. Clair Shores, Michigan","(42.4969652, -82.8890965)",42.4969652,-82.8890965
833,"Shelby Township, Michigan","(43.60107655, -86.33794306170321)",43.60107655,-86.33794306
834,"Sterling Heights, Michigan","(42.5803122, -83.0302033)",42.5803122,-83.0302033
835,"Warren, Michigan","(42.4932575, -83.0062746)",42.4932575,-83.0062746
836,"Clinton Township, Michigan","(42.58485235, -82.93482447460985)",42.58485235,-82.93482447
837,"Chesterfield Township, Michigan","(42.675609699999995, -82.8075885471502)",42.6756097,-82.80758855
838,"Manistee, Michigan","(44.3308044, -86.0262043)",44.3308044,-86.0262043
839,"Ferris State University, Michigan","(43.6828521, -85.48361918322209)",43.6828521,-85.48361918
840,"Missaukee, Michigan","(44.336979, -85.1070535)",44.336979,-85.1070535
841,"Monroe, Michigan","(41.9153358, -83.5135665)",41.9153358,-83.5135665
842,"Montcalm, Michigan","(43.3055418, -85.112198)",43.3055418,-85.112198
843,"Greenville, Michigan","(43.1775314, -85.2527987)",43.1775314,-85.2527987
844,"Muskegon, Michigan","(43.2341813, -86.2483921)",43.2341813,-86.2483921
845,"Muskegon Heights, Michigan","(43.201126, -86.238946)",43.201126,-86.238946
846,"Fremont, Michigan","(43.467517, -85.942001)",43.467517,-85.942001
847,"Oakland, Michigan","(42.6618842, -83.3804439)",42.6618842,-83.3804439
848,"Berkley, Michigan","(42.5030909, -83.1835389)",42.5030909,-83.1835389
849,"Beverly Hills, Michigan","(42.5226219, -83.241357)",42.5226219,-83.241357
850,"Birmingham, Michigan","(42.5467012, -83.2113192)",42.5467012,-83.2113192
851,"Bloomfield Hills, Michigan","(42.583645, -83.2454883)",42.583645,-83.2454883
852,"Bloomfield Township, Michigan","(42.575186, -83.29398114814815)",42.575186,-83.29398115
853,"Clawson, Michigan","(42.5333682, -83.1463166)",42.5333682,-83.1463166
854,"Ferndale, Michigan","(42.4605917, -83.1346478)",42.4605917,-83.1346478
855,"Keego Harbor, Michigan","(42.6080884, -83.3438248)",42.6080884,-83.3438248
856,"Madison Heights, Michigan","(42.4858692, -83.1052028)",42.4858692,-83.1052028
857,"Oak Park, Michigan","(42.4595317, -83.1821445)",42.4595317,-83.1821445
858,"Pontiac, Michigan","(42.6389216, -83.2910468)",42.6389216,-83.2910468
859,"Rochester, Michigan","(42.680588, -83.1338214)",42.680588,-83.1338214
860,"Royal Oak, Michigan","(42.4894801, -83.1446485)",42.4894801,-83.1446485
861,"Southfield, Michigan","(42.4733689, -83.2218731)",42.4733689,-83.2218731
862,"Troy, Michigan","(42.6055893, -83.1499304)",42.6055893,-83.1499304
863,"Waterford Township, Michigan","(42.6706391, -83.3896241)",42.6706391,-83.3896241
864,"West Bloomfield Township, Michigan","(42.5685582, -83.3733531)",42.5685582,-83.3733531
865,"White Lake Township, Michigan","(42.656543, -83.5040657753698)",42.656543,-83.50406578
866,"Auburn Hills, Michigan","(42.6875323, -83.2341028)",42.6875323,-83.2341028
867,"Pentwater, Michigan","(43.7817227, -86.4331385)",43.7817227,-86.4331385
868,"Ogemaw, Michigan","(44.3364914, -84.125549)",44.3364914,-84.125549
869,"Oscoda, Michigan","(44.6789109, -84.1467693)",44.6789109,-84.1467693
870,"Ottawa, Michigan","(42.9547143, -85.9827867)",42.9547143,-85.9827867
871,"Holland, Michigan","(42.7876022, -86.1090828)",42.7876022,-86.1090828
872,"Presque Isle, Michigan","(45.3375258, -83.9567881)",45.3375258,-83.9567881
873,"Richfield Township, Roscommon County, Michigan","(44.35687725, -84.4307884600691)",44.35687725,-84.43078846
874,"Saginaw, Michigan","(43.4200387, -83.9490365)",43.4200387,-83.9490365
875,"Saginaw Township, Michigan","(44.5090099, -84.7706838)",44.5090099,-84.7706838
876,"St. Clair, Michigan","(42.9426715, -82.6283554)",42.9426715,-82.6283554
877,"Port Huron, Michigan","(42.9815877, -82.440466)",42.9815877,-82.440466
878,"St. Joseph, Michigan","(41.9031963, -85.5356726)",41.9031963,-85.5356726
879,"Brown City, Michigan","(43.212249, -82.98966)",43.212249,-82.98966
880,"Croswell, Michigan","(43.275581, -82.621038)",43.275581,-82.621038
881,"Manistique, Michigan","(45.95779, -86.246419)",45.95779,-86.246419
882,"Laingsburg, Michigan","(42.8915618, -84.3496697)",42.8915618,-84.3496697
883,"Owosso, Michigan","(42.9975968, -84.1720541)",42.9975968,-84.1720541
884,"Tuscola, Michigan","(43.4776781, -83.3951071)",43.4776781,-83.3951071
885,"Van Buren, Michigan","(42.2710763, -86.013973)",42.2710763,-86.013973
886,"Decatur, Michigan","(42.1080979, -85.9744569)",42.1080979,-85.9744569
887,"Mattawan, Michigan","(42.2094839, -85.784453)",42.2094839,-85.784453
888,"Paw Paw, Michigan","(42.2178171, -85.8911246)",42.2178171,-85.8911246
889,"Covert Township, Michigan","(42.28757405, -86.27960906386363)",42.28757405,-86.27960906
890,"Washtenaw, Michigan","(42.2582044, -83.8440853)",42.2582044,-83.8440853
891,"Ann Arbor, Michigan","(42.2681569, -83.7312291)",42.2681569,-83.7312291
892,"Chelsea, Michigan","(42.3180163, -84.020224)",42.3180163,-84.020224
893,"Eastern Michigan University, Michigan","(42.25224625, -83.6245615218778)",42.25224625,-83.62456152
894,"University of Michigan:, Michigan","(42.2942142, -83.71003893509601)",42.2942142,-83.71003894
895,"Pittsfield Township, Michigan","(42.2103174, -83.7241068)",42.2103174,-83.7241068
896,"Belleville, Michigan","(42.2048414, -83.4852106)",42.2048414,-83.4852106
897,"Dearborn, Michigan","(42.3222599, -83.1763145)",42.3222599,-83.1763145
898,"Dearborn Heights, Michigan","(42.3369816, -83.2732627)",42.3369816,-83.2732627
899,"Detroit, Michigan","(42.3315509, -83.0466403)",42.3315509,-83.0466403
900,"Inkster, Michigan","(42.2942045, -83.3099303)",42.2942045,-83.3099303
901,"Livonia, Michigan","(42.36837, -83.3527097)",42.36837,-83.3527097
902,"Northville, Michigan","(42.4310806, -83.4832262)",42.4310806,-83.4832262
903,"Taylor, Michigan","(42.240872, -83.2696509)",42.240872,-83.2696509
904,"Trenton, Michigan","(42.1406552, -83.1800544)",42.1406552,-83.1800544
905,"Van Buren Township, Michigan","(42.2207982, -83.4841464)",42.2207982,-83.4841464
906,"Wayne, Michigan","(42.2682408, -83.2844172)",42.2682408,-83.2844172
907,"Westland, Michigan","(42.3238056, -83.4005321)",42.3238056,-83.4005321
908,"Wyandotte, Michigan","(42.2006617, -83.1510164)",42.2006617,-83.1510164
909,"Canton Township, Michigan","(42.7269261, -84.6433146)",42.7269261,-84.6433146
910,"Wayne County Airport, Michigan","(42.205699100000004, -83.35297537621658)",42.2056991,-83.35297538
911,"Cadillac, Michigan","(44.3353211, -85.5741088)",44.3353211,-85.5741088
912,"Blaine, Minnesota","(45.1607987, -93.2349489)",45.1607987,-93.2349489
913,"Fridley, Minnesota","(45.0838291, -93.2590388)",45.0838291,-93.2590388
914,"Lino Lakes, Minnesota","(45.1602442, -93.0888324)",45.1602442,-93.0888324
915,"Beltrami, Minnesota","(47.9978537, -94.8799011)",47.9978537,-94.8799011
916,"Bemidji, Minnesota","(47.4785418, -94.8907869)",47.4785418,-94.8907869
917,"Mankato, Minnesota","(44.1634663, -93.9993505)",44.1634663,-93.9993505
918,"Chisago, Minnesota","(45.4758877, -92.8849411)",45.4758877,-92.8849411
919,"Dakota, Minnesota","(44.666655, -93.044911)",44.666655,-93.044911
920,"Mendota Heights, Minnesota","(44.8835768, -93.1382749)",44.8835768,-93.1382749
921,"South St. Paul, Minnesota","(44.8938832, -93.0368359)",44.8938832,-93.0368359
922,"Eagan, Minnesota","(44.818173, -93.1659179)",44.818173,-93.1659179
923,"Bloomington, Minnesota","(44.8322405, -93.3204872)",44.8322405,-93.3204872
924,"Brooklyn Park, Minnesota","(45.1004807, -93.3443585)",45.1004807,-93.3443585
925,"Minneapolis, Minnesota","(44.9772995, -93.2654692)",44.9772995,-93.2654692
926,"Minnetonka, Minnesota","(44.9127229, -93.499059)",44.9127229,-93.499059
927,"Plymouth, Minnesota","(45.0065149, -93.46651)",45.0065149,-93.46651
928,"Robbinsdale, Minnesota","(45.0313156, -93.3395843)",45.0313156,-93.3395843
929,"St. Louis Park, Minnesota","(44.9475726, -93.3569023)",44.9475726,-93.3569023
930,"University of Minnesota:, Minnesota","(44.97780325, -93.2332510255882)",44.97780325,-93.23325103
931,"Eden Prairie, Minnesota","(44.8546856, -93.470786)",44.8546856,-93.470786
932,"Mille Lacs, Minnesota","(45.9311972, -93.640356)",45.9311972,-93.640356
933,"Olmsted, Minnesota","(43.999812, -92.3765614)",43.999812,-92.3765614
934,"Rochester, Minnesota","(44.0234387, -92.4630182)",44.0234387,-92.4630182
935,"Polk, Minnesota","(47.6554613, -96.4193484)",47.6554613,-96.4193484
936,"Maplewood, Minnesota","(44.9533351, -92.9953373)",44.9533351,-92.9953373
937,"New Brighton, Minnesota","(45.0628999, -93.2060969)",45.0628999,-93.2060969
938,"St. Paul, Minnesota","(44.9504037, -93.1015026)",44.9504037,-93.1015026
939,"Duluth, Minnesota","(46.7729322, -92.1251218)",46.7729322,-92.1251218
940,"Jordan, Minnesota","(44.6663146, -93.6261918)",44.6663146,-93.6261918
941,"Elk River, Minnesota","(45.3038538, -93.5671825)",45.3038538,-93.5671825
942,"Benson, Minnesota","(45.3149604, -95.6000349)",45.3149604,-95.6000349
943,"Washington, Minnesota","(45.0078657, -92.874565)",45.0078657,-92.874565
944,"Kirksville, Missouri","(40.1948848, -92.5833939)",40.1948848,-92.5833939
945,"Columbia, Missouri","(38.951883, -92.3337366)",38.951883,-92.3337366
946,"University of Missouri:, Missouri","(38.93641465, -92.32970301784542)",38.93641465,-92.32970302
947,"St. Joseph, Missouri","(39.7686055, -94.8466322)",39.7686055,-94.8466322
948,"Cape Girardeau, Missouri","(37.3034933, -89.5230357)",37.3034933,-89.5230357
949,"Franklin, Missouri","(38.4021095, -91.0841241)",38.4021095,-91.0841241
950,"Springfield, Missouri","(37.2166779, -93.2920373)",37.2166779,-93.2920373
951,"Independence, Missouri","(39.0924792, -94.4137923)",39.0924792,-94.4137923
952,"Lee's Summit, Missouri","(38.9107156, -94.3821295)",38.9107156,-94.3821295
953,"Raytown, Missouri","(39.0168425, -94.4630468)",39.0168425,-94.4630468
954,"Joplin, Missouri","(37.08418, -94.51323)",37.08418,-94.51323
955,"Jefferson, Missouri","(38.267166, -90.5721889)",38.267166,-90.5721889
956,"Byrnes Mill, Missouri","(38.4378319, -90.581792)",38.4378319,-90.581792
957,"Laclede, Missouri","(37.6475206, -92.6324187)",37.6475206,-92.6324187
958,"Canton, Missouri","(40.132926, -91.5205242)",40.132926,-91.5205242
959,"Rolla, Missouri","(37.9509324, -91.7708076)",37.9509324,-91.7708076
960,"Bolivar, Missouri","(37.6110502, -93.4107968)",37.6110502,-93.4107968
961,"St. Charles, Missouri","(38.7877791, -90.6747372)",38.7877791,-90.6747372
962,"O'Fallon, Missouri","(38.7910374, -90.7039107)",38.7910374,-90.7039107
963,"St. Peters, Missouri","(38.791612, -90.5958468)",38.791612,-90.5958468
964,"St. Louis County Police Department, Missouri","(38.64996835, -90.33899267184586)",38.64996835,-90.33899267
965,"Bridgeton, Missouri","(38.7566055, -90.42352)",38.7566055,-90.42352
966,"Riverview, Missouri","(38.7478279, -90.2114995)",38.7478279,-90.2114995
967,"Town and Country, Missouri","(38.6122751, -90.4634532)",38.6122751,-90.4634532
968,"Ste. Genevieve, Missouri","(37.88958, -90.1856637)",37.88958,-90.1856637
969,"Kansas City, Missouri","(39.100105, -94.5781416)",39.100105,-94.5781416
970,"State Highway Patrol:, Missouri","(38.6428042, -90.4846539)",38.6428042,-90.4846539
971,"St. Louis, Missouri","(38.6264178, -90.1998378)",38.6264178,-90.1998378
972,"Gulfport, Mississippi","(30.3674198, -89.0928155)",30.3674198,-89.0928155
973,"Big Horn, Montana","(45.4608548, -107.5152896)",45.4608548,-107.5152896
974,"Red Lodge, Montana","(45.1859038, -109.2470622)",45.1859038,-109.2470622
975,"Miles City, Montana","(46.4085273, -105.840981)",46.4085273,-105.840981
976,"Deer Lodge, Montana","(46.395761, -112.730038)",46.395761,-112.730038
977,"Kalispell, Montana","(48.202158, -114.315321)",48.202158,-114.315321
978,"Lewis and Clark, Montana","(47.2117026, -112.4768049)",47.2117026,-112.4768049
979,"Helena, Montana","(46.5927425, -112.036277)",46.5927425,-112.036277
980,"Troy, Montana","(48.4615199, -115.8949854)",48.4615199,-115.8949854
981,"Missoula, Montana","(46.8701049, -113.995267)",46.8701049,-113.995267
982,"Phillips, Montana","(48.3541037, -107.9275256)",48.3541037,-107.9275256
983,"Ravalli, Montana","(46.0757223, -114.1139453)",46.0757223,-114.1139453
984,"Butte-Silver Bow, Montana","(46.0131505, -112.536508)",46.0131505,-112.536508
985,"Billings, Montana","(45.7874957, -108.49607)",45.7874957,-108.49607
986,"Adams, Nebraska","(40.5125798, -98.5148588)",40.5125798,-98.5148588
987,"Fremont, Nebraska","(41.4338363, -96.4960449)",41.4338363,-96.4960449
988,"Omaha, Nebraska","(41.2587459, -95.9383758)",41.2587459,-95.9383758
989,"Lincoln, Nebraska","(40.8088861, -96.7077751)",40.8088861,-96.7077751
990,"Wadesboro, North Carolina","(34.9682097, -80.0767266)",34.9682097,-80.0767266
991,"Buncombe, North Carolina","(35.6292222, -82.5255603)",35.6292222,-82.5255603
992,"Asheville, North Carolina","(35.6009498, -82.5540161)",35.6009498,-82.5540161
993,"Black Mountain, North Carolina","(35.6178951, -82.3212302)",35.6178951,-82.3212302
994,"Morganton, North Carolina","(35.7454291, -81.6870837)",35.7454291,-81.6870837
995,"Kannapolis, North Carolina","(35.4874708, -80.621438)",35.4874708,-80.621438
996,"Caldwell, North Carolina","(35.4537485, -80.8428508)",35.4537485,-80.8428508
997,"Catawba, North Carolina","(35.7073558, -81.0756345)",35.7073558,-81.0756345
998,"Hickory, North Carolina","(35.7333312, -81.3442915)",35.7333312,-81.3442915
999,"Long View, North Carolina","(35.7218779, -81.38553835728578)",35.7218779,-81.38553836
1000,"Chatham, North Carolina","(36.416494650000004, -80.96801880273804)",36.41649465,-80.9680188
1001,"New Bern, North Carolina","(35.1084931, -77.0441143)",35.1084931,-77.0441143
1002,"Davie, North Carolina","(35.850616, -79.035285)",35.850616,-79.035285
1003,"Durham, North Carolina","(35.996653, -78.9018053)",35.996653,-78.9018053
1004,"Forsyth, North Carolina","(36.062060919136385, -80.31073914999634)",36.06206092,-80.31073915
1005,"Gaston County Police Department, North Carolina","(None, None)",,
1006,"Gastonia, North Carolina","(35.2622158, -81.1838794)",35.2622158,-81.1838794
1007,"Oxford, North Carolina","(36.3107004, -78.5908345)",36.3107004,-78.5908345
1008,"Creedmoor, North Carolina","(36.122741, -78.6862272)",36.122741,-78.6862272
1009,"Guilford, North Carolina","(36.0768027, -79.8980907)",36.0768027,-79.8980907
1010,"Greensboro, North Carolina","(36.0726355, -79.7919754)",36.0726355,-79.7919754
1011,"High Point, North Carolina","(35.9556924, -80.0053176)",35.9556924,-80.0053176
1012,"Roanoke Rapids, North Carolina","(36.4610756, -77.6548026)",36.4610756,-77.6548026
1013,"Henderson, North Carolina","(36.3295905, -78.3991638)",36.3295905,-78.3991638
1014,"Mooresville, North Carolina","(35.5848596, -80.8100724)",35.5848596,-80.8100724
1015,"Jackson, North Carolina","(36.3896747, -77.4214855)",36.3896747,-77.4214855
1016,"Sylva, North Carolina","(35.3737111, -83.2259803)",35.3737111,-83.2259803
1017,"Smithfield, North Carolina","(35.5085531, -78.33936)",35.5085531,-78.33936
1018,"Charlotte-Mecklenburg, North Carolina","(35.20295565, -80.82523928145449)",35.20295565,-80.82523928
1019,"Matthews, North Carolina","(35.1159532, -80.7224386)",35.1159532,-80.7224386
1020,"Mint Hill, North Carolina","(35.1735388, -80.6570377)",35.1735388,-80.6570377
1021,"Jacksonville, North Carolina","(34.7494749, -77.4208221)",34.7494749,-77.4208221
1022,"Carrboro, North Carolina","(35.9099875, -79.0752876)",35.9099875,-79.0752876
1023,"Person, North Carolina","(36.3967816, -78.9882995)",36.3967816,-78.9882995
1024,"Roxboro, North Carolina","(36.3937519, -78.9827881)",36.3937519,-78.9827881
1025,"Asheboro, North Carolina","(35.7079146, -79.8136446)",35.7079146,-79.8136446
1026,"Salisbury, North Carolina","(35.6709727, -80.4742261)",35.6709727,-80.4742261
1027,"Rutherford, North Carolina","(35.3994626, -81.9023191)",35.3994626,-81.9023191
1028,"Albemarle, North Carolina","(35.3501426, -80.2000578)",35.3501426,-80.2000578
1029,"King, North Carolina","(36.275245999999996, -80.36568613272892)",36.275246,-80.36568613
1030,"Elkin, North Carolina","(36.2440516, -80.8507344)",36.2440516,-80.8507344
1031,"Transylvania, North Carolina","(35.1982216, -82.7724889)",35.1982216,-82.7724889
1032,"Raleigh, North Carolina","(35.7803977, -78.6390989)",35.7803977,-78.6390989
1033,"Raleigh-Durham International Airport, North Carolina","(35.880361449999995, -78.78723821716514)",35.88036145,-78.78723822
1034,"North Carolina State University, North Carolina","(35.77184965, -78.67408695452633)",35.77184965,-78.67408695
1035,"Wilson, North Carolina","(35.7212689, -77.9155395)",35.7212689,-77.9155395
1036,"Bismarck, North Dakota","(46.808327, -100.783739)",46.808327,-100.783739
1037,"Fargo, North Dakota","(46.877229, -96.789821)",46.877229,-96.789821
1038,"Grand Forks, North Dakota","(47.9078244, -97.0592028)",47.9078244,-97.0592028
1039,"Watford City, North Dakota","(47.802241, -103.283247)",47.802241,-103.283247
1040,"Mandan, North Dakota","(46.826415, -100.889704)",46.826415,-100.889704
1041,"Devils Lake, North Dakota","(48.112779, -98.86512)",48.112779,-98.86512
1042,"Dickinson, North Dakota","(46.8791756, -102.7896242)",46.8791756,-102.7896242
1043,"Laconia, New Hampshire","(43.5278546, -71.470351)",43.5278546,-71.470351
1044,"Tilton, New Hampshire","(43.44245, -71.588974)",43.44245,-71.588974
1045,"Conway, New Hampshire","(43.979475, -71.120682)",43.979475,-71.120682
1046,"Hinsdale, New Hampshire","(42.7861936, -72.4864773)",42.7861936,-72.4864773
1047,"Marlborough, New Hampshire","(42.9042483, -72.2078618)",42.9042483,-72.2078618
1048,"Bristol, New Hampshire","(43.591333, -71.737289)",43.591333,-71.737289
1049,"Littleton, New Hampshire","(44.3063899, -71.7710705)",44.3063899,-71.7710705
1050,"Plymouth, New Hampshire","(43.757209, -71.688538)",43.757209,-71.688538
1051,"Manchester, New Hampshire","(42.9956397, -71.4547891)",42.9956397,-71.4547891
1052,"Merrimack, New Hampshire","(42.8650864, -71.4934004)",42.8650864,-71.4934004
1053,"Pelham, New Hampshire","(42.734534, -71.3245067)",42.734534,-71.3245067
1054,"Concord, New Hampshire","(43.207178, -71.537476)",43.207178,-71.537476
1055,"Hooksett, New Hampshire","(43.096972, -71.465378)",43.096972,-71.465378
1056,"Danville, New Hampshire","(42.9125877, -71.124504)",42.9125877,-71.124504
1057,"Derry, New Hampshire","(42.8808677, -71.3264492)",42.8808677,-71.3264492
1058,"Exeter, New Hampshire","(42.981477, -70.9478343)",42.981477,-70.9478343
1059,"Hampton, New Hampshire","(42.9304376, -70.824896)",42.9304376,-70.824896
1060,"Sandown, New Hampshire","(42.928698, -71.1870053)",42.928698,-71.1870053
1061,"Seabrook, New Hampshire","(42.8846631, -70.8601957)",42.8846631,-70.8601957
1062,"Durham, New Hampshire","(43.134564, -70.927048)",43.134564,-70.927048
1063,"Farmington, New Hampshire","(43.39008, -71.06575)",43.39008,-71.06575
1064,"Lee, New Hampshire","(43.12354, -71.011505)",43.12354,-71.011505
1065,"Atlantic City, New Jersey","(39.3642852, -74.4229351)",39.3642852,-74.4229351
1066,"Galloway Township, New Jersey","(39.4646097, -74.4986142)",39.4646097,-74.4986142
1067,"Hamilton Township, Atlantic County, New Jersey","(39.4959092, -74.74482010565384)",39.4959092,-74.74482011
1068,"Hammonton, New Jersey","(39.6365056, -74.8023853)",39.6365056,-74.8023853
1069,"Mullica Township, New Jersey","(39.5777443, -74.7172708)",39.5777443,-74.7172708
1070,"Bergenfield, New Jersey","(40.9275987, -73.9973608)",40.9275987,-73.9973608
1071,"Bogota, New Jersey","(40.8762106, -74.0298621)",40.8762106,-74.0298621
1072,"Cliffside Park, New Jersey","(40.8214894, -73.9876388)",40.8214894,-73.9876388
1073,"Englewood, New Jersey","(40.8928771, -73.9726381)",40.8928771,-73.9726381
1074,"Fort Lee, New Jersey","(40.8509333, -73.9701382)",40.8509333,-73.9701382
1075,"Glen Rock, New Jersey","(40.9628758, -74.1329208)",40.9628758,-74.1329208
1076,"Hillsdale, New Jersey","(41.0025975, -74.0404175)",41.0025975,-74.0404175
1077,"Lodi, New Jersey","(40.8823215, -74.0831971)",40.8823215,-74.0831971
1078,"Norwood, New Jersey","(40.9981532, -73.9618039)",40.9981532,-73.9618039
1079,"Oakland, New Jersey","(41.0220483, -74.2430988)",41.0220483,-74.2430988
1080,"Oradell, New Jersey","(40.9543943, -74.0308504)",40.9543943,-74.0308504
1081,"Paramus, New Jersey","(40.9452911, -74.0735899)",40.9452911,-74.0735899
1082,"Ramsey, New Jersey","(41.0573188, -74.1409771)",41.0573188,-74.1409771
1083,"Ridgefield, New Jersey","(40.8342669, -74.0087505)",40.8342669,-74.0087505
1084,"Ridgewood, New Jersey","(40.9796683, -74.1194403)",40.9796683,-74.1194403
1085,"River Edge, New Jersey","(40.9287098, -74.0398622)",40.9287098,-74.0398622
1086,"River Vale Township, New Jersey","(40.9953754, -74.0120832)",40.9953754,-74.0120832
1087,"Teaneck Township, New Jersey","(40.8860164, -74.0072568)",40.8860164,-74.0072568
1088,"Waldwick, New Jersey","(41.0109281, -74.1182019)",41.0109281,-74.1182019
1089,"Chesterfield Township, New Jersey","(40.112115, -74.65157121086229)",40.112115,-74.65157121
1090,"Delanco Township, New Jersey","(40.048303950000005, -74.95283244342582)",40.04830395,-74.95283244
1091,"Eastampton Township, New Jersey","(40.003451999999996, -74.75344339487293)",40.003452,-74.75344339
1092,"Evesham Township, New Jersey","(39.851752, -74.89174118371643)",39.851752,-74.89174118
1093,"Willingboro Township, New Jersey","(40.0269215, -74.89088816648788)",40.0269215,-74.89088817
1094,"Lumberton Township, New Jersey","(39.9597485, -74.79695719444445)",39.9597485,-74.79695719
1095,"Mansfield Township, Burlington County, New Jersey","(40.089326, -74.71308220535715)",40.089326,-74.71308221
1096,"Maple Shade Township, New Jersey","(39.949994, -74.99431298221344)",39.949994,-74.99431298
1097,"Medford Township, New Jersey","(39.9009472, -74.8234961)",39.9009472,-74.8234961
1098,"Moorestown Township, New Jersey","(39.975536000000005, -74.95287134635342)",39.975536,-74.95287135
1099,"Mount Holly Township, New Jersey","(39.995410500000006, -74.7885821260749)",39.9954105,-74.78858213
1100,"Mount Laurel Township, New Jersey","(39.958025, -74.89848490639811)",39.958025,-74.89848491
1101,"Palmyra, New Jersey","(40.0070565, -75.0282271)",40.0070565,-75.0282271
1102,"Westampton Township, New Jersey","(40.0060418, -74.8670223)",40.0060418,-74.8670223
1103,"Camden County Police Department, New Jersey","(39.9436606, -75.11623331381023)",39.9436606,-75.11623331
1104,"Gibbsboro, New Jersey","(39.8381698, -74.9648887)",39.8381698,-74.9648887
1105,"Gloucester Township, New Jersey","(39.7892305, -75.04765195947174)",39.7892305,-75.04765196
1106,"Haddon Township, New Jersey","(39.9076944, -75.0552516702093)",39.9076944,-75.05525167
1107,"Merchantville, New Jersey","(39.951634, -75.0487627131713)",39.951634,-75.04876271
1108,"Oaklyn, New Jersey","(39.9009465, -75.0846179)",39.9009465,-75.0846179
1109,"Pine Hill, New Jersey","(39.7842813, -74.9921108)",39.7842813,-74.9921108
1110,"Runnemede, New Jersey","(39.8523358, -75.0679498)",39.8523358,-75.0679498
1111,"Voorhees Township, New Jersey","(39.8512162, -74.9619779)",39.8512162,-74.9619779
1112,"Waterford Township, New Jersey","(39.7321715, -74.80109551268784)",39.7321715,-74.80109551
1113,"Winslow Township, New Jersey","(39.696597, -74.8819381304906)",39.696597,-74.88193813
1114,"Avalon, New Jersey","(39.101225, -74.7176622)",39.101225,-74.7176622
1115,"Lower Township, New Jersey","(38.981896, -74.90200976023075)",38.981896,-74.90200976
1116,"Middle Township, New Jersey","(39.086816, -74.8315650410467)",39.086816,-74.83156504
1117,"Ocean City, New Jersey","(39.2776156, -74.5746001)",39.2776156,-74.5746001
1118,"Wildwood, New Jersey","(38.9862925, -74.8217237)",38.9862925,-74.8217237
1119,"Millville, New Jersey","(39.4020593, -75.0393368)",39.4020593,-75.0393368
1120,"Belleville, New Jersey","(40.7937116, -74.1501438)",40.7937116,-74.1501438
1121,"Livingston Township, New Jersey","(40.5234981, -74.42961240209148)",40.5234981,-74.4296124
1122,"Montclair, New Jersey","(40.8164458, -74.2210643)",40.8164458,-74.2210643
1123,"North Caldwell, New Jersey","(40.8648215, -74.2582027)",40.8648215,-74.2582027
1124,"Verona, New Jersey","(40.829822, -74.2401466)",40.829822,-74.2401466
1125,"West Orange, New Jersey","(40.7987113, -74.2390353)",40.7987113,-74.2390353
1126,"Elk Township, New Jersey","(39.66578, -75.1507279654843)",39.66578,-75.15072797
